File,ID,Member_Name,Member_Type,Entity,Member_ID,Modules,Module_List,Module,Duplicated
bashtypes.h,19,bashtypes,file,bashtypes.h,46,['general'],['general'],general,FALSE
bashtypes.h,19,word,var,bashtypes.h,47,['general'],['general'],general,FALSE
version.c,341,version,file,version.c,3699,['general'],['general'],general,FALSE
bashintl.h,15,bashintl,file,bashintl.h,42,['general'],['general'],general,FALSE
bashansi.h,12,bashansi,file,bashansi.h,39,['general'],['general'],general,FALSE
lib/readline/bind.c,160,bind,file,lib/readline/bind.c,1277,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,key,var,lib/readline/bind.c,1311,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,function,var,lib/readline/bind.c,1308,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,map,var,lib/readline/bind.c,1314,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,default_func,var,lib/readline/bind.c,1306,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,kmap,var,lib/readline/bind.c,1313,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,func,var,lib/readline/bind.c,1307,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,type,var,lib/readline/bind.c,1321,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,keyseq,var,lib/readline/bind.c,1312,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,data,var,lib/readline/bind.c,1305,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,seq,var,lib/readline/bind.c,1319,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,args,var,lib/readline/bind.c,1302,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,parser_if,functionproto,lib/readline/bind.c,1284,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,parser_endif,var,lib/readline/bind.c,1317,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,parser_else,var,lib/readline/bind.c,1316,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,parser_include,var,lib/readline/bind.c,1318,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,string,var,lib/readline/bind.c,1320,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,_rl_prefer_visible_bell,var,lib/readline/bind.c,1301,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_bell_style,functionproto,lib/readline/bind.c,1291,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_combegin,functionproto,lib/readline/bind.c,1292,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_compwidth,functionproto,lib/readline/bind.c,1294,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_dispprefix,functionproto,lib/readline/bind.c,1295,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_compquery,functionproto,lib/readline/bind.c,1293,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_editmode,functionproto,lib/readline/bind.c,1296,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_histsize,functionproto,lib/readline/bind.c,1297,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_isrchterm,functionproto,lib/readline/bind.c,1298,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,sv_keymap,functionproto,lib/readline/bind.c,1299,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,name,var,lib/readline/bind.c,1315,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,count,var,lib/readline/bind.c,1304,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,rl_list_funmap_names,functionimpl,lib/readline/bind.c,1280,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,funmap_names,var,lib/readline/bind.c,1309,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,i,var,lib/readline/bind.c,1310,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,rl_translate_keyseq,functionproto,lib/readline/bind.c,1288,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,array,var,lib/readline/bind.c,1303,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,rl_named_function,functionproto,lib/readline/bind.c,1286,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,rl_re_read_init_file,functionproto,lib/readline/bind.c,1287,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,find_boolean_var,functionproto,lib/readline/bind.c,1282,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,find_string_var,functionproto,lib/readline/bind.c,1283,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,rl_variable_value,functionproto,lib/readline/bind.c,1290,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,rl_variable_bind,functionproto,lib/readline/bind.c,1289,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,rl_get_keymap_by_name,functionproto,lib/readline/bind.c,1285,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/bind.c,160,,type,lib/readline/bind.c,1300,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/signals.c,208,rl_free_line_state,functionimpl,lib/readline/signals.c,2054,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/macro.c,184,_rl_kill_kbd_macro,functionimpl,lib/readline/macro.c,1712,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/histexpand.c,174,histexpand,file,lib/readline/histexpand.c,1562,"['libreadline', 'libhistory']","['libreadline', 'libhistory']",libhistory,TRUE
lib/readline/rlshell.h,199,rlshell,file,lib/readline/rlshell.h,2006,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_completion_case_fold,var,lib/readline/complete.c,1368,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_completion_case_map,var,lib/readline/complete.c,1369,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,rl_inhibit_completion,var,lib/readline/complete.c,1396,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,rl_complete_with_tilde_expansion,var,lib/readline/complete.c,1392,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_complete_mark_directories,var,lib/readline/complete.c,1364,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_complete_mark_symlink_dirs,var,lib/readline/complete.c,1365,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_match_hidden_files,var,lib/readline/complete.c,1371,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_menu_complete_prefix_first,var,lib/readline/complete.c,1372,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_page_completions,var,lib/readline/complete.c,1373,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_print_completions_horizontally,var,lib/readline/complete.c,1374,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_complete_show_all,var,lib/readline/complete.c,1366,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_complete_show_unmodified,var,lib/readline/complete.c,1367,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,_rl_skip_completed_text,var,lib/readline/complete.c,1375,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/complete.c,163,rl_visible_stats,var,lib/readline/complete.c,1397,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/misc.c,186,_rl_reset_argument,functionimpl,lib/readline/misc.c,1749,['libreadline'],['libreadline'],libreadline,FALSE
variables.c,339,set_pwd,functionimpl,variables.c,3496,['general'],['general'],general,FALSE
builtins/common.h,26,set_working_directory,functionproto,builtins/common.h,114,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
variables.c,339,pop_dollar_vars,functionimpl,variables.c,3488,['general'],['general'],general,FALSE
builtins/common.h,26,remember_args,functionproto,builtins/common.h,109,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
builtins/common.h,26,set_dollar_vars_unchanged,functionproto,builtins/common.h,113,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
builtins/common.c,25,set_working_directory,functionproto,builtins/common.c,72,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
builtins/common.c,25,remember_args,functionproto,builtins/common.c,71,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
builtins/common.c,25,set_dollar_vars_unchanged,functionimpl,builtins/common.c,67,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
lib/readline/signals.c,208,rl_reset_after_signal,functionimpl,lib/readline/signals.c,2055,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/readline.c,193,_rl_meta_flag,var,lib/readline/readline.c,1822,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/signals.c,208,rl_cleanup_after_signal,functionimpl,lib/readline/signals.c,2052,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,_rl_clean_up_for_exit,functionproto,lib/readline/rlprivate.h,1912,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,_rl_kill_kbd_macro,functionproto,lib/readline/rlprivate.h,1929,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,_rl_reset_argument,functionproto,lib/readline/rlprivate.h,1940,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,_rl_meta_flag,var,lib/readline/rlprivate.h,1979,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/signals.c,208,signals,file,lib/readline/signals.c,2047,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,rlprivate,file,lib/readline/rlprivate.h,1901,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/signals.c,208,_rl_block_sigint,functionimpl,lib/readline/signals.c,2048,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,_rl_block_sigint,functionproto,lib/readline/rlprivate.h,1909,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/signals.c,208,_rl_release_sigint,functionimpl,lib/readline/signals.c,2050,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,_rl_release_sigint,functionproto,lib/readline/rlprivate.h,1938,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/signals.c,208,_rl_block_sigwinch,functionimpl,lib/readline/signals.c,2049,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,_rl_block_sigwinch,functionproto,lib/readline/rlprivate.h,1910,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/signals.c,208,_rl_release_sigwinch,functionimpl,lib/readline/signals.c,2051,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rlprivate.h,198,_rl_release_sigwinch,functionproto,lib/readline/rlprivate.h,1939,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/readline.h,194,rl_deprep_term_function,var,lib/readline/readline.h,1875,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/readline.h,194,rl_prep_term_function,var,lib/readline/readline.h,1890,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/readline.h,194,readline,file,lib/readline/readline.h,1867,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/rldefs.h,196,rldefs,file,lib/readline/rldefs.h,1895,['libreadline'],['libreadline'],libreadline,FALSE
dispose_cmd.h,37,dispose_words,functionproto,dispose_cmd.h,241,['general'],['general'],general,FALSE
variables.c,339,dispose_saved_dollar_vars,functionimpl,variables.c,3472,['general'],['general'],general,FALSE
dispose_cmd.c,36,dispose_words,functionproto,dispose_cmd.c,236,['general'],['general'],general,FALSE
variables.c,339,all_local_variables,functionimpl,variables.c,3465,['general'],['general'],general,FALSE
error.h,39,internal_error,functionproto,error.h,259,['error_handling'],['error_handling'],error_handling,FALSE
error.c,38,internal_error,functionproto,error.c,247,['error_handling'],['error_handling'],error_handling,FALSE
variables.c,339,push_dollar_vars,functionimpl,variables.c,3490,['general'],['general'],general,FALSE
variables.c,339,find_function_def,functionproto,variables.c,3516,['general'],['general'],general,FALSE
command.h,33,FUNCTION_DEF,alias,command.h,174,['general'],['general'],general,FALSE
command.h,33,word_desc,type,command.h,211,['general'],['general'],general,FALSE
builtins/getopt.h,30,getopt,file,builtins/getopt.h,134,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
lib/readline/misc.c,186,_rl_history_preserve_point,var,lib/readline/misc.c,1763,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/parens.c,188,rl_blink_matching_paren,var,lib/readline/parens.c,1786,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/display.c,164,_rl_clean_up_for_exit,functionimpl,lib/readline/display.c,1402,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/mbutil.c,185,rl_byte_oriented,var,lib/readline/mbutil.c,1740,['libreadline'],['libreadline'],libreadline,FALSE
lib/readline/posixstat.h,192,posixstat,file,lib/readline/posixstat.h,1790,['libreadline'],['libreadline'],libreadline,FALSE
subst.c,322,subst,file,subst.c,2998,['general'],['general'],general,FALSE
lib/intl/localealias.c,135,localealias,file,lib/intl/localealias.c,1090,['libintl'],['libintl'],libintl,FALSE
lib/intl/gettextP.h,126,gettextP,file,lib/intl/gettextP.h,1032,['libintl'],['libintl'],libintl,FALSE
jobs.c,104,get_tty_state,functionimpl,jobs.c,779,['job_control'],['job_control'],job_control,FALSE
lib/sh/winsize.c,283,get_new_window_size,functionproto,lib/sh/winsize.c,2528,['libsh'],['libsh'],libsh,FALSE
input.c,102,input,file,input.c,755,['general'],['general'],general,FALSE
